nr S.	scalenie	znaczenie 1	znaczenie 2	znaczenie 3	POCHODZENIE	CZĘSTOŚĆ WYSTĄPIEŃ	WYSTĄPIENIA
G537	G537 ἅπας [hapas]; przymiotnik						
G538	G538 ἀπατάω [apataō]; czasownik						
G539	G539 ἀπάτη [apatē]; rzeczownik						
G540	G540 ἀπάτωρ [apatōr]; przymiotnik						
G541	G541 ἀπαύγασμα [apaugasma]; rzeczownik						
G542	G542 ἀπείδω [apeidon]; czasownik						
G543	G543 ἀπείθεια [apeitheia]; rzeczownik						
G544	G544 ἀπειθέω [apeitheō]; czasownik						
G545	G545 ἀπειθής [apeithēs]; przymiotnik						
G546	G546 ἀπειλέω [apeileō]; czasownik						
G547	G547 ἀπειλή [apeilē]; rzeczownik						
G548	G548 ἄπειμι [apeimi]; czasownik						
G549	G549 ἄπειμι [apeimi]; czasownik						
G550	G550 ἀπειπόμην [apeipon]; czasownik						
G551	G551 ἀπείραστος [apeirastos]; przymiotnik						
G552	G552 ἄπειρος [apeiros]; przymiotnik						
G553	G553 ἀπεκδέχομαι [apekdechomai]; czasownik						
G554	G554 ἀπεκδύομαι [apekdyomai]; czasownik						
G555	G555 ἀπέκδυσις [apekdysis]; rzeczownik						
G556	G556 ἀπελαύνω [apelaunō]; czasownik						
G557	G557 ἀπελεγμός [apelegmos]; rzeczownik						
G558	G558 ἀπελεύθερος [apeleutheros]; rzeczownik						
G559	G559 Ἀπελλῆς [Apellēs]; rzeczownik						
G560	G560 ἀπελπίζω [apelpidzō]; czasownik						
G561	G561 ἀπέναντι [apenanti]; przysłówek						
G562	G562 ἀπέραντος [aperantos]; przymiotnik						
G563	G563 ἀπερισπάστως [aperispastōs]; przysłówek						
G564	G564 ἀπερίτμητος [aperitmētos]; przymiotnik						
G565	G565 ἀπέρχομαι [aperchomai]; czasownik						
G566	G566 ἀπέχει [apechei]; czasownik						
G567	G567 ἀπέχομαι [apechomai]; czasownik						
G568	G568 ἀπέχω [apechō]; czasownik						
G569	G569 ἀπιστέω [apisteō]; czasownik						
G570	G570 ἀπιστία [apistia]; rzeczownik						
G571	G571 ἄπιστος [apistos]; przymiotnik						
G572	G572 ἁπλότης [haplotēs]; rzeczownik						
G573	G573 ἁπλοῦς [haplus]; przymiotnik						
G574	G574 ἁπλῶς [haplōs]; przysłówek						
G575	G575 ἀπό [apo]; przyimek						
G576	G576 ἀποβαίνω [apobainō]; czasownik						
G577	G577 ἀποβάλλω [apoballō]; czasownik						
G578	G578 ἀποβλέπω [apoblepō]; czasownik						
G579	G579 ἀπόβλητος [apoblētos]; przymiotnik						
G580	G580 ἀποβολή [apobolē]; rzeczownik						
G581	G581 ἀπογενόμενος [apoginomai]; czasownik						
G582	G582 ἀπογραφή [apografē]; rzeczownik						
G583	G583 ἀπογράφω [apografō]; czasownik						
G584	G584 ἀποδείκνυμι [apodeiknymi]; czasownik						
G585	G585 ἀπόδειξις [apodeixis]; rzeczownik						
G586	G586 ἀποδεκατόω [apodekatoō]; czasownik						
G587	G587 ἀπόδεκτος [apodektos]; przymiotnik						
G588	G588 ἀποδέχομαι [apodechomai]; czasownik						
G589	G589 ἀποδημέω [apodēmeō]; czasownik						
G590	G590 ἀπόδημος [apodēmos]; przymiotnik						
G591	G591 ἀποδίδωμι [apodidōmi]; czasownik						
G592	G592 ἀποδιορίζω [apodioridzō]; czasownik						
G593	G593 ἀποδοκιμάζω [apodokimadzō]; czasownik						
G594	G594 ἀποδοχή [apodochē]; rzeczownik						
G595	G595 ἀπόθεσις [apothesis]; rzeczownik						
G596	G596 ἀποθήκη [apothēkē]; rzeczownik						
G597	G597 ἀποθησαυρίζω [apothēsauridzō]; czasownik						
G598	G598 ἀποθλίβω [apothlibō]; czasownik						
G599	G599 ἀποθνήσκω [apothnēskō]; czasownik						
G600	G600 ἀποκαθίστημι [apokathistēmi]; czasownik						
G601	G601 ἀποκαλύπτω [apokalyptō]; czasownik						
G602	G602 ἀποκάλυψις [apokalypsis]; rzeczownik						
G603	G603 ἀποκαραδοκία [apokaradokia]; rzeczownik						
G604	G604 ἀποκαταλλάσσω [apokatallassō]; czasownik						
G605	G605 ἀποκατάστασις [apokatastasis]; rzeczownik						
G606	G606 ἀπόκειμαι [apokeimai]; czasownik						
G607	G607 ἀποκεφαλίζω [apokefalidzō]; czasownik						
G608	G608 ἀποκλείω [apokleiō]; czasownik						
G609	G609 ἀποκόπτω [apokoptō]; czasownik						
G610	G610 ἀπόκριμα [apokrima]; rzeczownik						
G611	G611 ἀποκρίνομαι [apokrinomai]; czasownik						
G612	G612 ἀπόκρισις [apokrisis]; rzeczownik						
G613	G613 ἀποκρύπτω [apokryptō]; czasownik						
G614	G614 ἀπόκρυφος [apokryfos]; przymiotnik						
G615	G615 ἀποκτείνω [apokteinō]; czasownik						
G616	G616 ἀποκυέω [apokyeō]; czasownik						
G617	G617 ἀποκυλίω [apokyliō]; czasownik						
G618	G618 ἀπολαμβάνω [apolambanō]; czasownik						
G619	G619 ἀπόλαυσις [apolausis]; rzeczownik						
G620	G620 ἀπολείπω [apoleipō]; czasownik						
G621	G621 ἀπολείχω [apoleichō]; czasownik						
G622	G622 ἀπόλλυμι [apollymi]; czasownik						
G623	G623 Ἀπολλύων [Apollyōn]; rzeczownik						
G624	G624 Ἀπολλωνία [Apollōnia]; rzeczownik						
G625	G625 Ἀπολλώς [Apollōs]; rzeczownik						
G626	G626 ἀπολογέομαι [apologeomai]; czasownik						
G627	G627 ἀπολογία [apologia]; rzeczownik						
G628	G628 ἀπολούω [apoluō]; czasownik						
G629	G629 ἀπολύτρωσις [apolytrōsis]; rzeczownik						
G630	G630 ἀπολύω [apolyō]; czasownik						
G631	G631 ἀπομάσσομαι [apomassō]; czasownik						
G632	G632 ἀπονέμω [aponemō]; czasownik						
G633	G633 ἀπονίπτω [aponiptō]; czasownik						
G634	G634 ἀποπίπτω [apopiptō]; czasownik						
G635	G635 ἀποπλανάω [apoplanaō]; czasownik						
G636	G636 ἀποπλέω [apopleō]; czasownik						
G637	G637 ἀποπλύνω [apoplynō]; czasownik						
G638	G638 ἀποπνίγω [apopnigō]; czasownik						
G639	G639 ἀπορέω [aporeō]; czasownik						
G640	G640 ἀπορία [aporia]; rzeczownik						
G641	G641 ἀπορῥίπτω [aporriptō]; czasownik						
G642	G642 ἀπορφανίζω [aporfanidzō]; czasownik						
G643	G643 ἀποσκευάζω [aposkeuadzō]; czasownik						
G644	G644 ἀποσκίασμα [aposkiasma]; rzeczownik						
G645	G645 ἀποσπάω [apospaō]; czasownik						
G646	G646 ἀποστασία [apostasia]; rzeczownik						
G647	G647 ἀποστάσιον [apostasion]; rzeczownik						
G648	G648 ἀποστεγάζω [apostegadzō]; czasownik						
G649	G649 ἀποστέλλω [apostellō]; czasownik						
G650	G650 ἀποστερέω [apostereō]; czasownik						
G651	G651 ἀποστολή [apostolē]; rzeczownik						
G652	G652 ἀπόστολος [apostolos]; rzeczownik						
G653	G653 ἀποστοματίζω [apostomatidzō]; czasownik						
G654	G654 ἀποστρέφω [apostrefō]; czasownik						
G655	G655 ἀποστυγέω [apostygeō]; czasownik						
G656	G656 ἀποσυνάγωγος [aposynagōgos]; przymiotnik						
G657	G657 ἀποτάσσομαι [apotassō]; czasownik						
G658	G658 ἀποτελέω [apoteleō]; czasownik						
G659	G659 ἀποτίθημι [apotithēmi]; czasownik						
G660	G660 ἀποτινάσσω [apotinassō]; czasownik						
G661	G661 ἀποτίνω [apotinō]; czasownik						
G662	G662 ἀποτολμάω [apotolmaō]; czasownik						
G663	G663 ἀποτομία [apotomia]; rzeczownik						
G664	G664 ἀποτόμως [apotomōs]; przysłówek						
G665	G665 ἀποτρέπω [apotrepō]; czasownik						
G666	G666 ἀπουσία [apusia]; rzeczownik						
G667	G667 ἀποφέρω [apoferō]; czasownik						
G668	G668 ἀποφεύγω [apofeugō]; czasownik						
G669	G669 ἀποφθέγγομαι [apofthengomai]; czasownik						
G670	G670 ἀποφορτίζομαι [apofortidzomai]; czasownik						
G671	G671 ἀπόχρησις [apochrēsis]; rzeczownik						
G672	G672 ἀποχωρέω [apochōreō]; czasownik						
G673	G673 ἀποχωρίζω [apochōridzō]; czasownik						
G674	G674 ἀποψύχω [apopsychō]; czasownik						
G675	G675 Ἄππιος [Appios]; rzeczownik						
G676	G676 ἀπρόσιτος [aprositos]; przymiotnik						
G677	G677 ἀπρόσκοπος [aproskopos]; przymiotnik						
G678	G678 ἀπροσωπολήπτος [aprosōpolēmptōs]; przysłówek						
G679	G679 ἀπταίστος [aptaistos]; przymiotnik						
G680	G680 ἅπτομαι [haptomai]; czasownik						
G681	G681 ἅπτω [haptō]; czasownik						
G682	G682 Ἀπφία [Apfia]; rzeczownik						
G683	G683 ἀπωθέομαι [apōtheō]; czasownik						
G684	G684 ἀπώλεια [apōleia]; rzeczownik						
G685	G685 ἀρά [ara]; rzeczownik						
G686	G686 ἄρα [ara]; partykuła						
G687	G687 ἆρα [ara]; partykuła						
G688	G688 Ἀραβία [Arabia]; rzeczownik						
G689	G689 Ἀράμ [Aram]; rzeczownik						
G690	G690 Ἄραψ [Araps]; rzeczownik						
G691	G691 ἀργέω [argeō]; czasownik						
G692	G692 ἀργός [argos]; przymiotnik						
G693	G693 ἀργύρεος [argyreos]; przymiotnik						
G694	G694 ἀργύριον [argyrion]; rzeczownik						
G695	G695 ἀργυροκόπος [argyrokopos]; rzeczownik						
G696	G696 ἄργυρος [argyros]; rzeczownik						
G697	G697 Ἄρειος [Areios]; rzeczownik						
G698	G698 Ἀρεοπαγίτης [Areopagitēs]; rzeczownik						
G699	G699 ἀρέσκεια [areskeia]; rzeczownik						
G700	G700 ἀρέσκω [areskō]; czasownik						
G701	G701 ἀρεστός [arestos]; przymiotnik						
G702	G702 Ἀρέτας [Aretas]; rzeczownik						
G703	G703 ἀρέτη [aretē]; rzeczownik						
G704	G704 ἀρήν [arēn]; rzeczownik						
G705	G705 ἀριθμέω [arithmeō]; czasownik						
G706	G706 ἀριθμός [arithmos]; rzeczownik						
G707	G707 Ἀριμαθαία [Harimathaia]; rzeczownik						
G708	G708 Ἀρίσταρχος [Aristarchos]; rzeczownik						
G709	G709 αριστάω [aristaō]; czasownik						
G710	G710 ἀριστερός [aristeros]; przymiotnik						
G711	G711 Ἀριστόβουλος [Aristobulos]; rzeczownik						
G712	G712 ἄριστον [ariston]; rzeczownik						
G713	G713 ἀρκετός [arketos]; przymiotnik						
G714	G714 ἀρκέω [arkeō]; czasownik						
G715	G715 ἄρκτος [arktos]; rzeczownik						
G716	G716 ἅρμα [harma]; rzeczownik						
G717	G717 Ἀρμαγεδδών [Harmagedōn]; rzeczownik						
G718	G718 ἁρμόζω [harmodzō]; czasownik						
G719	G719 ἁρμός [harmos]; rzeczownik						
G720	G720 ἀρνέομαι [arneomai]; czasownik						
G721	G721 ἀρνίον [arnion]; rzeczownik						
G722	G722 ἀροτριόω [arotriaō]; czasownik						
G723	G723 ἄροτρον [arotron]; rzeczownik						
G724	G724 ἁρπαγή [harpagē]; rzeczownik						
G725	G725 ἁρπαγμός [harpagmos]; rzeczownik						
G726	G726 ἁρπάζω [harpadzō]; czasownik						
G727	G727 ἅρπαξ [harpax]; przymiotnik						
G728	G728 ἀρῥαβών [arrabōn]; rzeczownik						
G729	G729 ἄρῥαφος [arafos]; przymiotnik						
G730	G730 ἄρῥην [arrēn]; rzeczownik						
G731	G731 ἄρῥητος [arrētos]; przymiotnik						
G732	G732 ἄρῥωστος [arrōstos]; przymiotnik						
G733	G733 ἀρσενοκοίτης [arsenokoitēs]; rzeczownik						
G734	G734 Ἀρτεμάς [Artemas]; rzeczownik						
G735	G735 Ἄρτεμις [Artemis]; rzeczownik						
G736	G736 ἀρτέμων [artemōn]; rzeczownik						
G737	G737 ἄρτι [arti]; przysłówek						
G738	G738 ἀρτιγέννητος [artigennētos]; przymiotnik						
G739	G739 ἄρτιος [artios]; przymiotnik						
G740	G740 ἄρτος [artos]; rzeczownik						
G741	G741 ἀρτύω [artyō]; czasownik						
G742	G742 Ἀρφαξάδ [Arfaxad]; rzeczownik						
G743	G743 ἀρχάγγελος [archangelos]; rzeczownik						
G744	G744 ἀρχαῖος [archaios]; przymiotnik						
G745	G745 Ἀρχέλαος [Archelaos]; rzeczownik						
G746	G746 ἀρχή [archē]; rzeczownik						
G747	G747 ἀρχηγός [archēgos]; rzeczownik						
G748	G748 ἀρχιερατικός [archieratikos]; przymiotnik						
G749	G749 ἀρχιερεύς [archiereus]; rzeczownik						
G750	G750 ἀρχιποίμην [archipoimēn]; rzeczownik						
G751	G751 Ἄρχιππος [Archippos]; rzeczownik						
G752	G752 ἀρχισυνάγωγος [archisynagōgos]; rzeczownik						
G753	G753 ἀρχιτέκτων [architektōn]; rzeczownik						
G754	G754 ἀρχιτελώνης [architelōnēs]; rzeczownik						
G755	G755 ἀρχιτρίκλινος [architriklinos]; rzeczownik						
G756	G756 ἄρχομαι [archomai]; czasownik						
G757	G757 ἄρχω [archō]; czasownik						
G758	G758 ἄρχων [archōn]; rzeczownik						
G759	G759 ἄρωμα [arōma]; rzeczownik						
G760	G760 Ἀσά [Asa]; rzeczownik						
G761	G761 ἀσάλευτος [asaleutos]; przymiotnik						
G762	G762 ἄσβεστος [asbestos]; przymiotnik						
G763	G763 ἀσέβεια [asebeia]; rzeczownik						
G764	G764 ἀσεβέω [asebeō]; czasownik						
G765	G765 ἀσεβής [asebēs]; przymiotnik						
G766	G766 ἀσέλγεια [aselgeia]; rzeczownik						
G767	G767 ἄσημος [asēmos]; przymiotnik						
G768	G768 Ἀσήρ [Asēr]; rzeczownik						
G769	G769 ἀσθένεια [astheneia]; rzeczownik						
G770	G770 ἀσθενέω [astheneō]; czasownik						
G771	G771 ἀσθένημα [asthenēma]; rzeczownik						
G772	G772 ἀσθενής [asthenēs]; przymiotnik						
G773	G773 Ἀσία [Asia]; rzeczownik						
G774	G774 Ἀσιανός [Asianos]; rzeczownik						
G775	G775 Ἀσιάρχης [Asiarchēs]; rzeczownik						
G776	G776 ἀσιτία [asitia]; rzeczownik						
G777	G777 ἄσιτος [asitos]; przymiotnik						
G778	G778 ἀσκέω [askeō]; czasownik						
G779	G779 ἀσκός [askos]; rzeczownik						
G780	G780 ἀσμένως [asmenōs]; przysłówek						
G781	G781 ἄσοφος [asofos]; przymiotnik						
G782	G782 ἀσπάζομαι [aspadzomai]; czasownik						
G783	G783 ἀσπασμός [aspasmos]; rzeczownik						
G784	G784 ἄσπιλος [aspilos]; przymiotnik						
G785	G785 ἀσπίς [aspis]; rzeczownik						
G786	G786 ἄσπονδος [aspondos]; przymiotnik						
G787	G787 ἀσσάριον [assarion]; rzeczownik						
G788	G788 ἆσσον [asson]; przysłówek						
G789	G789 Ἄσσος [Assos]; rzeczownik						
G790	G790 ἀστατέω [astateō]; czasownik						
G791	G791 ἀστεῖος [asteios]; przymiotnik						
G792	G792 ἀστήρ [astēr]; rzeczownik						
G793	G793 ἀστήρικτος [astēriktos]; przymiotnik						
G794	G794 ἄστοργος [astorgos]; przymiotnik						
G795	G795 ἀστοχέω [astocheō]; czasownik						
G796	G796 ἀστραπή [astrapē]; rzeczownik						
G797	G797 ἀστράπτω [astraptō]; czasownik						
G798	G798 ἄστρον [astron]; rzeczownik						
G799	G799 Ἀσύγκριτος [Asynkritos]; rzeczownik						
G800	G800 ἀσύμφωνος [asymfōnos]; przymiotnik						
G801	G801 ἀσύνετος [asynetos]; przymiotnik						
G802	G802 ἀσύνθετος [asynthetos]; przymiotnik						
G803	G803 ἀσφάλεια [asfaleia]; rzeczownik						
G804	G804 ἀσφαλής [asfalēs]; przymiotnik						
G805	G805 ἀσφαλίζω [asfalidzō]; czasownik						
G806	G806 ἀσφαλῶς [asfalōs]; przysłówek						
G807	G807 ἀσχημονέω [aschēmoneō]; czasownik						
G808	G808 ἀσχημοσύνη [aschēmosynē]; rzeczownik						
G809	G809 ἀσχήμων [aschēmōn]; przymiotnik						
G810	G810 ἀσωτία [asōtia]; rzeczownik						
G811	G811 ἀσώτως [asōtōs]; przysłówek						
G812	G812 ἀτακτέω [atakteō]; czasownik						
G813	G813 ἄτακτος [ataktos]; przymiotnik						
G814	G814 ἀτάκτως [ataktōs]; przysłówek						
G815	G815 ἄτεκνος [ateknos]; przymiotnik						
G816	G816 ἀτενίζω [atenidzō]; czasownik						
G817	G817 ἄτερ [ater]; przyimek						
G818	G818 ἀτιμάζω [atimadzō]; czasownik						
G819	G819 ἀτιμία [atimia]; rzeczownik						
G820	G820 ἄτιμος [atimos]; przymiotnik						
G821	G821 ατιμόω [atimoō]; czasownik						
G822	G822 ἀτμίς [atmis]; rzeczownik						
G823	G823 ἄτομος [atomos]; przymiotnik						
G824	G824 ἄτοπος [atopos]; przymiotnik						
G825	G825 Ἀττάλεια [Attaleia]; rzeczownik						
G826	G826 αὐγάζω [augadzō]; czasownik						
G827	G827 αὐγή [augē]; rzeczownik						
G828	G828 Αὔγουστος [augustos]; rzeczownik						
G829	G829 αὐθάδης [authadēs]; przymiotnik						
G830	G830 αὐθαίρετος [authairetos]; przymiotnik						
G831	G831 αὐθεντέω [authenteō]; czasownik						
G832	G832 αὐλέω [auleō]; czasownik						
G833	G833 αὐλή [aulē]; rzeczownik						
G834	G834 αὐλητής [aulētēs]; rzeczownik						
G835	G835 αὐλίζομαι [aulidzomai]; czasownik						
G836	G836 αὐλός [aulos]; rzeczownik						
G837	G837 αὐξάνω [auxanō]; czasownik						
G838	G838 αὔξησις [auxēsis]; rzeczownik						
G839	G839 αὔριον [aurion]; przysłówek						
G840	G840 αὐστηρός [austēros]; przymiotnik						
G841	G841 αὐτάρκεια [autarkeia]; rzeczownik						
G842	G842 αὐτάρκης [autarkēs]; przymiotnik						
G843	G843 αὐτοκατάκριτος [autokatakritos]; przymiotnik						
G844	G844 αὐτόματος [automatos]; przymiotnik						
G845	G845 αὐτόπτης [autoptēs]; przymiotnik						
G846	G846 αὐτός [autos]; zaimek						
G847	G847 αὐτοῦ [autu]; przysłówek						
G848	G848 αὑτοῦ [hautu]; zaimek						
G849	G849 αὐτόχειρ [autocheir]; przymiotnik						
G850	G850 αὐχμηρός [auchmēros]; przymiotnik						
G851	G851 ἀφαιρέω [afaireō]; czasownik						
G852	G852 ἀφανής [afanēs]; przymiotnik						
G853	G853 ἀφανίζω [afanidzō]; czasownik						
G854	G854 ἀφανισμός [afanismos]; rzeczownik						
G855	G855 ἄφαντος [afantos]; przymiotnik						
G856	G856 ἀφεδρών [afedrōn]; rzeczownik						
G857	G857 ἀφειδία [afeidia]; rzeczownik						
G858	G858 ἀφελότης [afelotēs]; rzeczownik						
G859	G859 ἄφεσις [afesis]; rzeczownik						
G860	G860 ἁφή [hafē]; rzeczownik						
G861	G861 ἀφθαρσία [aftharsia]; rzeczownik						
G862	G862 ἄφθαρτος [afthartos]; przymiotnik						
G863	G863 ἀφίημι [afiēmi]; czasownik						
G864	G864 ἀφικνέομαι [afikneomai]; czasownik						
G865	G865 ἀφιλάγαθος [afilagathos]; przymiotnik						
G866	G866 ἀφιλάργυρος [afilargyros]; przymiotnik						
G867	G867 ἄφιξις [afixis]; rzeczownik						
G868	G868 ἀφίστημι [afistēmi]; czasownik						
G869	G869 ἄφνω [afnō]; przysłówek						
G870	G870 ἀφόβως [afobōs]; przysłówek						
G871	G871 ἀφομοιόω [afomoioō]; czasownik						
G872	G872 ἀφοράω [aforaō]; czasownik						
G873	G873 ἀφορίζω [aforidzō]; czasownik						
G874	G874 ἀφορμή [aformē]; rzeczownik						
G875	G875 ἀφρίζω [afridzō]; czasownik						
G876	G876 ἀφρός [afros]; rzeczownik						
G877	G877 ἀφροσύνη [afrosynē]; rzeczownik						
G878	G878 ἄφρων [afrōn]; przymiotnik						
G879	G879 ἀφυπνόω [afypnoō]; czasownik						
G880	G880 ἄφωνος [afōnos]; przymiotnik						
G881	G881 Ἀχάζ [Achadz]; rzeczownik						
G882	G882 Ἀχαία [Achaïa]; rzeczownik						
G883	G883 Ἀχαϊκός [Achaïkos]; rzeczownik						
G884	G884 ἀχάριστος [acharistos]; przymiotnik						
G885	G885 Ἀχείμ [Acheim]; rzeczownik						
G886	G886 ἀχειροποίητος [acheiropoiētos]; przymiotnik						
G887	G887 ἀχλύς [achlys]; rzeczownik						
G888	G888 ἀχρεῖος [achreios]; przymiotnik						
G889	G889 αχρειόω [achreioō]; czasownik						
G890	G890 ἄχρηστος [achrēstos]; przymiotnik						
G891	G891 ἄχρι [achri]; przyimek						
G892	G892 ἄχυρον [achyron]; rzeczownik						
G893	G893 ἀψευδής [apseudēs]; przymiotnik						
G894	G894 ἄψινθος [apsinthion]; rzeczownik						
G895	G895 ἄψυχος [apsychos]; przymiotnik						
G896	G896 Βάαλ [Baal]; rzeczownik						
G897	G897 Βαβυλών [Babylōn]; rzeczownik						
G898	G898 βαθμός [bathmos]; rzeczownik						
G899	G899 βάθος [bathos]; rzeczownik						
G900	G900 βαθύνω [bathynō]; czasownik						
G901	G901 βαθύς [bathys]; przymiotnik						
G902	G902 βαΐον [baïon]; rzeczownik						
G903	G903 Βαλαάμ [Balaam]; rzeczownik						
G904	G904 Βαλάκ [Balak]; rzeczownik						
G905	G905 βαλάντιον [ballantion]; rzeczownik						
G906	G906 βάλλω [ballō]; czasownik						
G907	G907 βαπτίζω [baptidzō]; czasownik						
G908	G908 βάπτισμα [baptisma]; rzeczownik						
G909	G909 βαπτισμός [baptismos]; rzeczownik						
G910	G910 Βαπτιστής [baptistēs]; rzeczownik						
G911	G911 βάπτω [baptō]; czasownik						
G912	G912 Βαραββᾶς [Barabbas]; rzeczownik						
G913	G913 Βαράκ [Barak]; rzeczownik						
G914	G914 Βαραχίας [Barachias]; rzeczownik						
G915	G915 βάρβαρος [barbaros]; przymiotnik						
G916	G916 βαρέω [bareō]; czasownik						
G917	G917 βαρέως [bareōs]; przysłówek						
G918	G918 Βαρθολομαῖος [Bartholomaios]; rzeczownik						
G919	G919 Βαριησοῦς [Bariēsu]; rzeczownik						
G920	G920 Βαριωνᾶς [Bariōna]; rzeczownik						
G921	G921 Βαρνάβας [Barnabas]; rzeczownik						
G922	G922 βάρος [baros]; rzeczownik						
G923	G923 Βαρσαβᾶς [Barsabas]; rzeczownik						
G924	G924 Βαρτιμαῖος [Bartimaios]; rzeczownik						
G925	G925 βαρύνω [barynō]; czasownik						
G926	G926 βαρύς [barys]; przymiotnik						
G927	G927 βαρύτιμος [barytimos]; przymiotnik						
G928	G928 βασανίζω [basanidzō]; czasownik						
G929	G929 βασανισμός [basanismos]; rzeczownik						
G930	G930 βασανιστής [basanistēs]; rzeczownik						
G931	G931 βάσανος [basanos]; rzeczownik						
G932	G932 βασιλεία [basileia]; rzeczownik						
G933	G933 βασίλειον [basileion]; przymiotnik						
G934	G934 βασίλειος [basileios]; przymiotnik						
G935	G935 βασιλεύς [basileus]; rzeczownik						
G936	G936 βασιλεύω [basileuō]; czasownik						
G937	G937 βασιλικός [basilikos]; przymiotnik						
G938	G938 βασίλισσα [basilissa]; rzeczownik						
G939	G939 βάσις [basis]; rzeczownik						
G940	G940 βασκαίνω [baskainō]; czasownik						
G941	G941 βαστάζω [bastadzō]; czasownik						
G942	G942 βάτος [batos]; rzeczownik						
G943	G943 βάτος [batos]; rzeczownik						
G944	G944 βάτραχος [batrachos]; rzeczownik						
G945	G945 βαττολογέω [battalogeō]; czasownik						
G946	G946 βδέλυγμα [bdelygma]; rzeczownik						
G947	G947 βδελυκτός [bdelyktos]; przymiotnik						
G948	G948 βδελύσσω [bdelyssō]; czasownik						
G949	G949 βέβαιος [bebaios]; przymiotnik						
G950	G950 βεβαιόω [bebaioō]; czasownik						
G951	G951 βεβαίωσις [bebaiōsis]; rzeczownik						
G952	G952 βέβηλος [bebēlos]; przymiotnik						
G953	G953 βεβηλόω [bebēloō]; czasownik						
G954	G954 Βεελζεβούλ [Beeldzebul]; rzeczownik						
G955	G955 Βελίαλ [Belial]; rzeczownik						
G956	G956 βέλος [belos]; rzeczownik						
G957	G957 βελτίον [beltiōn]; przysłówek						
G958	G958 Βενιαμίν [Beniam(e)in]; rzeczownik						
G959	G959 Βερνίκη [Bernikē]; rzeczownik						
G960	G960 Βέροια [Beroia]; rzeczownik						
G961	G961 Βεροιαῖος [Beroiaios]; przymiotnik						
G962	G962 Βηθαβαρά [Bēthabara]; rzeczownik						
G963	G963 Βηθανία [Bēthania]; rzeczownik						
G964	G964 Βηθεσδά [Bēthesda]; rzeczownik						
G965	G965 Βηθλεέμ [Bēthleem]; rzeczownik						
G966	G966 Βηθσαϊδά [Bēthsaïda]; rzeczownik						
G967	G967 Βηθφαγή [Bēthfagē]; rzeczownik						
G968	G968 βῆμα [bēma]; rzeczownik						
G969	G969 βήρυλλος [bēryllos]; rzeczownik						
G970	G970 βία [bia]; rzeczownik						
G971	G971 βιάζω [biadzō]; czasownik						
G972	G972 βίαιος [biaios]; przymiotnik						
G973	G973 βιαστής [biastēs]; rzeczownik						
G974	G974 βιβλιαρίδιον [biblaridion]; rzeczownik						
G975	G975 βιβλίον [biblion]; rzeczownik						
G976	G976 βίβλος [biblos]; rzeczownik						
G977	G977 βιβρώσκω [bibrōskō]; czasownik						
G978	G978 Βιθυνία [Bithynia]; rzeczownik						
G979	G979 βίος [bios]; rzeczownik						
G980	G980 βιόω [bioō]; czasownik						
G981	G981 βίωσις [biōsis]; rzeczownik						
G982	G982 βιωτικός [biōtikos]; przymiotnik						
G983	G983 βλαβερός [blaberos]; przymiotnik						
G984	G984 βλάπτω [blaptō]; czasownik						
G985	G985 βλαστάνω [blastanō]; czasownik						
G986	G986 Βλάστος [Blastos]; rzeczownik						
G987	G987 βλασφημέω [blasfēmeō]; czasownik						
G988	G988 βλασφημία [blasfēmia]; rzeczownik						
G989	G989 βλάσφημος [blasfēmos]; przymiotnik						
G990	G990 βλέμμα [blemma]; rzeczownik						
G991	G991 βλέπω [blepō]; czasownik						
G992	G992 βλητέος [blēteos]; przymiotnik						
G993	G993 Βοανεργές [Boanērges]; rzeczownik						
G994	G994 βοάω [boaō]; czasownik						
G995	G995 βοή [boē]; rzeczownik						
G996	G996 βοήθεια [boētheia]; rzeczownik						
G997	G997 βοηθέω [boētheō]; czasownik						
G998	G998 βοηθός [boēthos]; rzeczownik						
G999	G999 βόθυνος [bothynos]; rzeczownik						
G1000	G1000 βολή [bolē]; rzeczownik						
G1001	G1001 βολίζω [bolidzō]; czasownik						
G1002	G1002 βολίς [bolis]; rzeczownik						
G1003	G1003 Βοόζ [Boes]; rzeczownik						
G1004	G1004 βόρβορος [borboros]; rzeczownik						
G1005	G1005 βορῥᾶς [borras]; rzeczownik						
G1006	G1006 βόσκω [boskō]; czasownik						
G1007	G1007 Βοσόρ [Bosor]; rzeczownik						
G1008	G1008 βοτάνη [botanē]; rzeczownik						
G1009	G1009 βότρυς [botrys]; rzeczownik						
G1010	G1010 βουλευτής [buleutēs]; rzeczownik						
G1011	G1011 βουλεύω [buleuō]; czasownik						
G1012	G1012 βουλή [bulē]; rzeczownik						
G1013	G1013 βούλημα [bulēma]; rzeczownik						
G1014	G1014 βούλομαι [bulomai]; czasownik						
G1015	G1015 βουνός [bunos]; rzeczownik						
G1016	G1016 βοῦς [bus]; rzeczownik						
G1017	G1017 βραβεῖον [brabeion]; rzeczownik						
G1018	G1018 βραβεύω [brabeuō]; czasownik						
G1019	G1019 βραδύνω [bradynō]; czasownik						
G1020	G1020 βραδυπλοέω [bradyploeō]; czasownik						
G1021	G1021 βραδύς [bradys]; przymiotnik						
G1022	G1022 βραδύτης [bradytēs]; rzeczownik						
G1023	G1023 βραχίων [brachiōn]; rzeczownik						
G1024	G1024 βραχύς [brachys]; przymiotnik						
